"","Type","metric","mean","median","IQR"
"1","BAM_control","RRMSE",0.629622926530856,0.489914964687598,0.486181381535206
"2","BAM_control","NRMSE",0.498560893822243,0.437114277907028,0.330356314844428
"3","BAM_control","NSE",-1.28052484081925,0.160547041365133,1.3964373975118
"4","BAM_control","rBIAS",-0.0327839771441938,-0.154583237195184,0.563173873819818
"5","geoBAM_unsupervised","RRMSE",0.665719962957837,0.41871696926882,0.467113998957639
"6","geoBAM_unsupervised","NRMSE",0.435479665503978,0.432371105451336,0.304264730096861
"7","geoBAM_unsupervised","NSE",-0.974840135415534,0.495492585124541,1.16615475291567
"8","geoBAM_unsupervised","rBIAS",0.0628400925040917,-0.125753707562372,0.621648882651777
"9","geoBAM_expert","RRMSE",0.676327906750655,0.420112885280799,0.429551765810053
"10","geoBAM_expert","NRMSE",0.456185150267811,0.430351762454171,0.3326741934133
"11","geoBAM_expert","NSE",-1.06809148148608,0.528993388693711,1.07438552585254
"12","geoBAM_expert","rBIAS",0.0904928855564335,-0.069110696328287,0.605677977224043
"13","Mackenzie_control","RRMSE",6.15651219411363,0.866036998128746,1.02505223108853
"14","Mackenzie_control","NRMSE",0.883640456120657,0.769715335424771,0.44675332387593
"15","Mackenzie_control","NSE",-0.442297763409662,-0.0546512360721686,0.912643857560875
"16","Mackenzie_control","rBIAS",-0.166061845108995,-0.151455819562132,0.385842364873388
"17","Mackenzie_unsupervised","RRMSE",11.7798886112882,0.926418900060387,1.39633995503415
"18","Mackenzie_unsupervised","NRMSE",0.720317312927851,0.583605056483239,0.405327401810115
"19","Mackenzie_unsupervised","NSE",0.202522460742678,0.255616744999933,0.382620409014646
"20","Mackenzie_unsupervised","rBIAS",0.0588798263529673,0.0442752500560054,0.203821770360754
"21","Mackenzie_expert","RRMSE",11.8902306252475,0.941170620283228,1.39109511281797
"22","Mackenzie_expert","NRMSE",0.728089387379282,0.614567219658481,0.413950770502751
"23","Mackenzie_expert","NSE",0.18134018038604,0.24099200195898,0.390787870403204
"24","Mackenzie_expert","rBIAS",0.0736727285639936,0.0516849267784185,0.219134875304297
