clusterGeomorphIndex,count,mean,std,min,25%,50%,75%,max
1,79.0,2.350591280182696,0.7500695605590418,0.3166338944015487,1.8425851669120714,2.476118143754921,2.881546724851344,4.01656318470207
10,78.0,3.9430033085410265,0.6541556749645794,2.3960754360813845,3.581059884419103,4.00269678840423,4.450019900417896,5.100415057787059
11,76.0,3.938957991017497,0.5879548447978374,2.2937965869609664,3.4782758482570477,4.0329123227035995,4.390392402180437,5.372171735118517
12,79.0,4.2517560141156645,0.7281339873895611,2.2688731785085094,3.7920176273373887,4.357733942104837,4.7069441535829615,5.86007371898257
13,77.0,4.469829457677366,0.5405678045068602,2.994606640266481,4.105861322349767,4.436574003812613,4.932853916576225,5.521860837883573
14,80.0,4.743710811725196,0.6806785255165987,1.8523056565960399,4.343818709130276,4.921742348183869,5.181126175030055,5.749870578848956
15,74.0,5.2725957235145104,0.889425931491116,2.585317435719913,4.671202919354336,5.287893051464792,5.872601093833206,7.0067858024450915
16,223.0,3.1543363913817575,1.2688653836583124,-0.12273276538229713,2.278292400425001,3.032064202801381,3.9274390689989103,6.917259965996383
2,78.0,2.830557757514138,0.7380693638399163,0.8140364978353987,2.4008898902324884,2.864001064945709,3.2522491397038404,4.410978456623649
3,75.0,3.1129494687095516,0.7106620534889048,0.4612151232126563,2.7245795030534206,3.1030159387736655,3.4992110977524358,4.833579846974801
4,81.0,3.225180501098972,0.669257108398495,1.3775058550868113,2.8015405441895487,3.2493080319884027,3.6000482404073204,5.094823244521281
5,84.0,3.249108090503507,0.6856806770023918,0.7440779092284884,2.9294013645469894,3.2841789641916694,3.7103962975761857,5.02916259871014
6,82.0,3.4552347798882432,0.6303800209107584,2.0706530356467567,3.0201151625296143,3.371669039159463,3.834786847463713,5.216130695560089
7,80.0,3.5465812883924883,0.5637961255340139,1.7303272297095538,3.13899103931054,3.574693905411289,3.980087184758724,4.536141599577656
8,83.0,3.6356193587953154,0.8126225169866478,0.4219944100593749,3.325524822114226,3.664586761544892,4.1207138995567245,5.091077921791119
9,80.0,3.685114455274145,0.6914285544252692,1.756995476791715,3.2870361381475757,3.6839223844536413,4.1738486633347,5.194372515031373
